orderID,OrderDate,RequiredDate,ShippedDate,freight,shipperID,ShipmentCompanyName,productID,productName,quantityPerUnit,unitPrice,discontinued,categoryID,categoryName,description,OrderID_actualordes,UnitPrice_actual,quantity,discount,customerID,CustomerCompanyName,contactName,contactTitle,CustomerCity,CustomerCountry,employeeID,employeeName,title,city,country,reportsTo,ReportTo_EmployeeName
10643,8/25/2014,9/22/2014,9/2/2014,29.46,1,Speedy Express,28,Rossle Sauerkraut,25 - 825 g cans,45.6,Yes,7,Produce,Dried fruit and bean curd,10643,45.6,15,0.25,ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Berlin,Germany,6,Michael Suyama,Sales Representative,London,UK,5,Steven Buchanan
10643,8/25/2014,9/22/2014,9/2/2014,29.46,1,Speedy Express,39,Chartreuse verte,750 cc per bottle,18,No,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",10643,18,21,0.25,ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Berlin,Germany,6,Michael Suyama,Sales Representative,London,UK,5,Steven Buchanan
10643,8/25/2014,9/22/2014,9/2/2014,29.46,1,Speedy Express,46,Spegesild,4 - 450 g glasses,12,No,8,Seafood,Seaweed and fish,10643,12,2,0.25,ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Berlin,Germany,6,Michael Suyama,Sales Representative,London,UK,5,Steven Buchanan
10692,10/3/2014,10/31/2014,10/13/2014,61.02,2,United Package,63,Vegie-spread,15 - 625 g jars,43.9,No,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",10692,43.9,20,0,ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Berlin,Germany,4,Margaret Peacock,Sales Representative,New York,USA,8,Laura Callahan
10702,10/13/2014,11/24/2014,10/21/2014,23.94,1,Speedy Express,3,Aniseed Syrup,12 - 550 ml bottles,10,No,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",10702,10,6,0,ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Berlin,Germany,4,Margaret Peacock,Sales Representative,New York,USA,8,Laura Callahan
10702,10/13/2014,11/24/2014,10/21/2014,23.94,1,Speedy Express,76,Lakkalikori,500 ml,18,No,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",10702,18,15,0,ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Berlin,Germany,4,Margaret Peacock,Sales Representative,New York,USA,8,Laura Callahan
10835,1/15/2015,2/12/2015,1/21/2015,69.53,3,Federal Shipping,59,Raclette Courdavault,5 kg pkg.,55,No,4,Dairy Products,Cheeses,10835,55,15,0,ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Berlin,Germany,1,Nancy Davolio,Sales Representative,New York,USA,8,Laura Callahan
10835,1/15/2015,2/12/2015,1/21/2015,69.53,3,Federal Shipping,77,Original Frankfurter Grüne Sosse,12 boxes,13,No,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",10835,13,2,0.2,ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Berlin,Germany,1,Nancy Davolio,Sales Representative,New York,USA,8,Laura Callahan
10952,3/16/2015,4/27/2015,3/24/2015,40.42,1,Speedy Express,6,Grandma's Boysenberry Spread,12 - 8 oz jars,25,No,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",10952,25,16,0.05,ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Berlin,Germany,1,Nancy Davolio,Sales Representative,New York,USA,8,Laura Callahan
10952,3/16/2015,4/27/2015,3/24/2015,40.42,1,Speedy Express,28,Rossle Sauerkraut,25 - 825 g cans,45.6,Yes,7,Produce,Dried fruit and bean curd,10952,45.6,2,0,ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Berlin,Germany,1,Nancy Davolio,Sales Representative,New York,USA,8,Laura Callahan
